model,config,filename,prediction,word_count,temporal_count,accident_affirmed,accident_negated,event_count,benign_count,temporal_matched,accident_affirmed_kw,event_matched,answer
InternVL3,G4_temporal_64_internvl,Negative_Videos_v10_adv.mp4,,23,0,3,0,0,0,,accident; accident; crash,,"Yes, there is a road accident in the video. A car crashes into another car, and the word ""Accident"" appears on the screen."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v11_adv.mp4,,20,0,1,0,0,0,,accident,,"Yes, there is a road accident in the video. A person is hit by a car while crossing the street."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v12_adv.mp4,,17,0,2,0,0,0,,accident; crash,,"Yes, there is a car accident in the video. A car is seen crashing into a pole."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v13_adv.mp4,,19,0,0,2,0,1,,,,"No, there are no road accidents or anomalies in the video. The cars are driving normally on the road."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v14_adv.mp4,,9,0,2,0,0,0,,accident; anomaly,,"Yes, there is an accident anomaly in the video."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v15_adv.mp4,,45,1,3,0,1,0,suddenly,accident; accident; collision,lying on the ground,"Yes, there is a car accident in the video. A car is seen driving on the road and then suddenly stops, causing a collision with another car. The video also shows a person lying on the ground, which could be a result of the accident."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v16_adv.mp4,,20,0,3,0,0,0,,accident; crash; collision,,"Yes, there is a road accident in the video. A car is seen crashing into another car, causing a collision."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v18_adv.mp4,,26,0,3,0,0,0,,accident; crash; debris,,"Yes, there is a car accident in the video. A car is seen crashing into the ground, and there is a cloud of dust and debris."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v19_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v1_adv.mp4,,38,0,2,0,2,0,,accident; crash,wrong side; lying on the ground,"Yes, there is a car accident in the video. A car is seen crashing into another car, and a person is lying on the ground. Additionally, a car is seen driving on the wrong side of the road."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v20_adv.mp4,,46,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video. The video shows a car driving down a street and a white car parked on the side of the road. The video is a simple recording of a street with no unusual events or incidents."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v22_adv.mp4,,27,1,2,0,0,0,suddenly,accident; collision,,"Yes, there is a car accident in the video. A car is seen driving on the road and then suddenly stops, causing a collision with another car."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v23_adv.mp4,,9,0,1,0,0,0,,accident,,"Yes, there is a car accident in the video."
InternVL3,G4_temporal_64_internvl,Negative_Videos_v24_adv.mp4,,24,0,2,0,1,0,,accident; accident,lying on the road,"Yes, there is a road accident in the video. A person is lying on the road, and a car is involved in the accident."
