model,config,filename,prediction,word_count,temporal_count,accident_affirmed,accident_negated,event_count,benign_count,temporal_matched,accident_affirmed_kw,event_matched,answer
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v10_adv.mp4,,19,0,1,0,0,0,,collision,,"Yes, there is a collision between a white car and a black car in the middle of the intersection."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v11_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v12_adv.mp4,,17,0,2,0,0,0,,accident; crash,,"Yes, there is a car accident in the video. A car is seen crashing into a tree."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v13_adv.mp4,,26,0,3,0,1,0,,accident; collide; collides,wrong side,"Yes, there is a road accident in the video. A car is seen driving on the wrong side of the road and collides with another car."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v14_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v15_adv.mp4,,51,1,3,0,1,0,suddenly,accident; accident; collision,lying on the ground,"Yes, there is a car accident in the video. A car is seen driving on the road and then suddenly stops, causing a collision with another car. The video also shows a person lying on the ground in the middle of the road, which could be a result of the accident."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v16_adv.mp4,,25,0,3,0,0,0,,accident; accident; crash,,"Yes, there is a car accident in the video. A car is seen crashing into another car, and the aftermath of the accident is visible."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v18_adv.mp4,,14,0,1,0,0,0,,crash,,"Yes, there is a car that has crashed into a pole in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v19_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v1_adv.mp4,,25,0,2,0,1,0,,accident; crash,lying on the ground,"Yes, there is a car accident in the video. A car is seen crashing into another car, and a person is lying on the ground."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v20_adv.mp4,,27,1,2,0,0,0,suddenly,accident; collision,,"Yes, there is a car accident in the video. A car is seen driving down the road and then suddenly stops, causing a collision with another car."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v22_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v23_adv.mp4,,14,0,0,0,0,0,,,,"Yes, there is a car that has fallen into a hole in the road."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v24_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v25_adv.mp4,,18,0,1,0,1,0,,accident,lying on the ground,"Yes, there is a motorcycle lying on the ground, which suggests that there might have been an accident."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v26_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v27_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v28_adv.mp4,,11,0,0,2,0,0,,,,"No, there are no road accidents or anomalies in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v29_adv.mp4,,26,0,2,0,0,0,,accident; crash,,"Yes, there is a car accident in the video. The video shows a car that has crashed into a wall and is laying on the ground."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v2_adv.mp4,,31,0,1,0,1,0,,accident,wrong side,"Yes, there is a road accident in the video where a motorcycle falls on the road. Additionally, there is a car that is driving on the wrong side of the road."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v30_adv.mp4,,12,0,1,0,0,0,,accident,,"Yes, there is a car accident at the intersection in the video."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v31_adv.mp4,,20,0,2,0,0,0,,accident; crash,,"Yes, there is a car accident in the video. A car is seen crashing into a bus on the road."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v32_adv.mp4,,40,0,2,0,1,0,,accident; crash,lying on the ground,"Yes, there is a car accident shown in the video. A car is seen crashing into a tree, and a person is lying on the ground. Additionally, a person is seen lying on the ground in front of a car."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v33_adv.mp4,,20,0,2,0,0,0,,accident; crash,,"Yes, there is a car accident in the video. A car is seen crashing into another car on the road."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v34_adv.mp4,,27,0,2,0,0,0,,accident; accident,,"Yes, there is a car accident visible in the video. The video shows a car accident on the road, and the footage is from a security camera."
InternVL3,G4_temporal_f0_internvl,Negative_Videos_v35_adv.mp4,,39,0,2,0,0,0,,accident; crash,,"Yes, there is a car accident in the video. A car is seen driving on the road and then it crashes into a tree. The car is also seen driving on the road with a person on the ground."
